Source,Target
Louis Lanzano,Pierre Roussel
Donald Trump,Rachel Blais
Rachel Blais,NBC
Kate,Mother Jones
Kate,Anna
Anastasia Tonello,Mother Jones
Anastasia Tonello,Laura Devine Attorneys
Politico,Melania
Kate,Trump Model Management
Dolce & Gabbana,Vogue
Dolce & Gabbana,Gianfranco Ferré
Dolce & Gabbana,Blais
Dolce & Gabbana,Jean Paul Gaultier
Elle,Rachel Blais
Kate,Anna
Trump Model Management,Anna
Blais,Public Radio International
Blais,Kate
Blais,Trump Model Management
Kate,Anna
Kate,Anna
Sara Ziff,Model Alliance
Fordham University,Susan Scafidi
Trump Model Management,Corinne Nicolas
Anthony Weiner,Daily News
Blais,Trump Model Management
Blais,Kate
Blais,Anna
Trump Model Management,Trump
Trump,Palmer
Naresh Gehi,Department of Labor
Naresh Gehi,Palmer
Gehi,Palmer
Teen Vogue,Alexia Palmer
Pankaj Malik,Mother Jones
Pankaj Malik,Palmer
Blais,Trump
Blais,TRUMP
Donald Trump,Blais
Donald Trump,Busta Rhymes
Kate,Trump
