Source,Target
Rachel Blais,Trump Model Management
Rachel Blais,Donald Trump
Anna (pseudonym),Trump Model Management
Kate (pseudonym),Trump Model Management
Alexia Palmer,Trump Model Management
Donald Trump,Trump Model Management
Hope Hicks,Trump Campaign
Corinne Nicolas,Trump Model Management
Melania Trump,Trump Model Management
Anthony Weiner,U.S. Congress
Naresh Gehi,Palmer's Legal Counsel
Pankaj Malik,"Ballon, Stoll, Bader & Nadler"
Sara Ziff,Model Alliance
Susan Scafidi,Fordham Fashion Law Institute
